"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"MEGASOFT","Megasoft Limited","7(2)","Ramanagaram Enterprises Private Limited","Promoters","Equity Shares","32121126","43.54",,"571126","51087221","Sell","Equity Shares","31550000","42.77","28-Mar-2024","28-Mar-2024","28-Mar-2024","Market Sale","-","-","0","0","0","0","-","-","05-Apr-2024 15:10","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163565_1081323_05042024031020_WEB.xml"
"MEGASOFT","Megasoft Limited","7(2)","Ramanagaram Enterprises Private Limited","Promoters","Equity Shares","32181126","43.62",,"60000","4733285","Sell","Equity Shares","32121126","43.54","26-Mar-2024","26-Mar-2024","26-Mar-2024","Market Sale","-","-","0","0","0","0","NSE","-","05-Apr-2024 15:00","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163563_1081303_05042024025959_WEB.xml"
"MEGASOFT","Megasoft Limited","7(2)","Ramanagaram Enterprises Private Limited","Promoters","Equity Shares","32286926","43.77",,"105800","7956180","Sell","Equity Shares","32181126","43.62","18-Mar-2024","22-Mar-2024","22-Mar-2024","Market Sale","-","-","0","0","0","0","NSE","-","05-Apr-2024 14:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163561_1081277_05042024024637_WEB.xml"
"VIPULLTD","Vipul Limited","7(2)","PUNIT BERIWALA","Promoters","Equity Shares","34335000","28.62",,"3500000","3500000","Pledge Invoke","Equity Shares","30835000","25.69","27-Mar-2024","27-Mar-2024","04-Apr-2024","Invocation of pledge","-","-","0","0","0","0","NA","-","05-Apr-2024 13:50","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163559_1081212_05042024015010_WEB.xml"
"BIOCON","Biocon Limited","7(2)","NEHAL VORA","Employees/Designated Employees","Equity Shares","469947","0.04",,"61827","15864808","Pledge","Equity Shares","469947","0.04","28-Mar-2024","28-Mar-2024","04-Apr-2024","Pledge Creation","-","-","0","0","0","0","NA","-","05-Apr-2024 13:14","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163557_1081179_05042024011443_WEB.xml"
"SHRENIK","Shrenik Limited","7(2)","Shrenik Sudhir Vimawala","Director","Equity Shares","188132762","30.74",,"200000","180000","Pledge Invoke","Equity Shares","187932762","30.71","27-Mar-2024","27-Mar-2024","05-Apr-2024","Invocation of pledge","-","-","0","0","0","0","NSE","-","05-Apr-2024 10:00","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163554_1080928_05042024100002_WEB.xml"
"BIOCON","Biocon Limited","7(2)","SIVANANDAM  K","-","Equity Shares","7328","0",,"7328","1880365","Pledge","Equity Shares","7328","0","27-Mar-2024","27-Mar-2024","03-Apr-2024","Pledge Creation","-","-","0","0","0","0","NA","-","04-Apr-2024 19:29","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163552_1080869_04042024072957_WEB.xml"
"AMBUJACEM","Ambuja Cements Limited","7(2)","Harmonia Trade and Investment Limited","Promoter Group","Equity Shares","Nil","0",,"212030758","66609462857","Buy","Equity Shares","212030758","9.65","28-Mar-2024","28-Mar-2024","02-Apr-2024","Conversion of security","-","-","0","0","0","0","NA","-","04-Apr-2024 18:59","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163549_1080836_04042024065914_WEB.xml"
"AUBANK","AU Small Finance Bank Limited","7(2)","Aditya Sharma","-","Equity Shares","54102","0.01",,"8000","4524400","Pledge","Equity Shares","54102","0.01","28-Mar-2024","28-Mar-2024","02-Apr-2024","Pledge Creation","-","-","0","0","0","0","NA","-","04-Apr-2024 18:04","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163546_1080746_04042024060434_WEB.xml"
"ATFL","Agro Tech Foods Limited","7(2)","SACHIN GOPAL","Key Managerial Personnel","Equity Shares","90704","0.37",,"10908","7571400","Sell","Equity Shares","79796","0.32","26-Mar-2024","28-Mar-2024","02-Apr-2024","Market Sale","-","-","0","0","0","0","NSE","-","04-Apr-2024 15:50","https://nsearchives.nseindia.com/corporate/xbrl/IT_1163544_1080500_04042024035040_WEB.xml"
