"SYMBOL 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","NO. OF SECURITY (POST) 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","MODE OF ACQUISITION 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
",is_insider
360ONE,Vishal Khanna,-,Equity Shares,0.01,1952.0,1285037,Sell,16000,2023-12-04,Market Sale,0,0
360ONE,Meer Thakker,-,Equity Shares,0.02,3724.0,2643705,Sell,72000,2023-12-29,Market Sale,0,0
360ONE,Anup Maheshwari,-,Equity Shares,0.04,22495.0,15932702,Sell,108000,2023-12-29,Market Sale,0,0
360ONE,ARZAN FALI TAMBOLY,-,Equity Shares,0.02,31512.0,20927157,Sell,30000,2023-12-27,Market Sale,0,0
360ONE,Chetan Naik,-,Equity Shares,0.0,13500.0,9520500,Sell,2000,2023-12-28,Market Sale,0,0
360ONE,ARZAN FALI TAMBOLY,-,Equity Shares,0.01,30000.0,20902414,Sell,Nil,2023-12-28,Market Sale,0,0
360ONE,Mayur Patel,-,Equity Shares,0.0,8000.0,5077408,Sell,Nil,2023-12-21,Market Sale,0,0
360ONE,Mehul Jani,-,Equity Shares,0.0,2400.0,1555200,Sell,Nil,2023-12-22,Market Sale,0,0
360ONE,A. Pramod Kumar,-,Equity Shares,0.02,60000.0,39163378,Sell,28144,2023-12-20,Market Sale,0,0
360ONE,Mayur Patel,-,Equity Shares,0.01,10000.0,6430877,Sell,8000,2023-12-20,Market Sale,0,0
360ONE,Parag Shah,-,Equity Shares,0.0,2732.0,1776185,Sell,Nil,2023-12-19,Market Sale,0,0
360ONE,Amit Garg,-,Equity Shares,0.02,4090.0,2724511,Sell,55000,2023-12-18,Market Sale,0,0
360ONE,Sameer Gambhir,-,Equity Shares,0.01,3000.0,2122500,Sell,15478,2023-12-14,Market Sale,0,0
360ONE,Shikhar Prabhakar,-,Equity Shares,0.0,3000.0,2138678,Sell,1000,2023-12-14,Market Sale,0,0
360ONE,Abhishek Trivedi,-,Equity Shares,0.0,3500.0,2488957,Sell,3257,2023-12-14,Market Sale,0,0
360ONE,Anup Maheshwari,-,Equity Shares,0.04,20000.0,14251667,Sell,130495,2023-12-14,Market Sale,0,0
360ONE,Prabhjot Cheema,-,Equity Shares,0.03,2000.0,1360000,Sell,96344,2023-12-13,Market Sale,0,0
360ONE,Shikhar Prabhakar,-,Equity Shares,0.0,2500.0,1613000,Sell,4000,2023-12-11,Market Sale,0,0
360ONE,Keshav Kabra,-,Equity Shares,0.0,4000.0,2592000,Sell,13232,2023-12-11,Market Sale,0,0
360ONE,Ganesh Iyer,-,Equity Shares,0.0,1826.0,1110640,Sell,3000,2023-12-01,Market Sale,0,0
360ONE,Shailendra Sharma,-,Equity Shares,0.01,3000.0,1893644,Sell,38696,2023-12-06,Market Sale,0,0
360ONE,Rajat Anandani,-,Equity Shares,0.01,10000.0,6440000,Sell,11720,2023-12-07,Market Sale,0,0
360ONE,Gaurav Chaturvedi,-,Equity Shares,0.0,16416.0,10588320,Sell,Nil,2023-12-06,Market Sale,0,0
360ONE,Sumit Vohra,-,Equity Shares,0.03,2000.0,1250000,Sell,105632,2023-12-04,Market Sale,0,0
360ONE,Meer Thakkar,-,Equity Shares,0.02,4000.0,2566560,Sell,71000,2023-12-06,Market Sale,0,0
360ONE,Jignesh Modi,-,Equity Shares,0.0,2000.0,1190190,Sell,3700,2023-11-15,Market Sale,0,0
360ONE,Arvind Sarda,-,Equity Shares,0.0,14380.0,8722354,Sell,Nil,2023-12-05,Market Sale,0,0
360ONE,Venkataraman Rajamani,Promoters,Equity Shares,1.09,2000000.0,1200064600,Sell,1896816,2023-12-04,Market Sale,0,0
360ONE,Madhu Jain,Promoter Group,Equity Shares,1.4,3000000.0,1800000000,Sell,1999996,2023-12-04,Market Sale,0,0
360ONE,Nirmal Jain,Promoters,Equity Shares,6.95,5000000.0,3001184500,Sell,19915424,2023-12-04,Market Sale,0,0
360ONE,Niraj Murarka,-,Equity Shares,0.0,1750.0,1064010,Sell,Nil,2023-12-05,Market Sale,0,0
360ONE,Savio Rodrigues,-,Equity Shares,0.0,5500.0,3316335,Sell,Nil,2023-12-04,Market Sale,0,0
360ONE,Ramesh Negi,-,Equity Shares,0.0,5000.0,3110155,Sell,Nil,2023-12-04,Market Sale,0,0
360ONE,Priya Biswas,-,Equity Shares,0.01,3000.0,1824222,Sell,49520,2023-12-04,Market Sale,0,0
360ONE,Milind Mahadik,-,Equity Shares,0.0,2128.0,1284801,Sell,2000,2023-12-04,Market Sale,0,0
360ONE,Aniket Menon,-,Equity Shares,0.0,5760.0,3473280,Sell,Nil,2023-12-04,Market Sale,0,0
