"SYMBOL 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","NO. OF SECURITY (POST) 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","MODE OF ACQUISITION 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
",is_insider
CHOICEIN,Manoj Singhania,-,Equity Shares,0.0,,,Buy,5000,2024-01-15,ESOP,0,0
CHOICEIN,Karishma Shah,-,Equity Shares,0.03,,,Buy,30000,2024-01-15,ESOP,0,0
CHOICEIN,Ayush Sharma,-,Equity Shares,0.03,,,Buy,30000,2024-01-15,ESOP,0,0
CHOICEIN,Bhal Chandra Murarka,-,Equity Shares,0.04,,,Buy,49248,2024-01-15,ESOP,0,0
CHOICEIN,Yogesh Jadhav,-,Equity Shares,1.13,38596.0,193536.0,Buy,1137500,2024-01-15,ESOP,0,0
CHOICEIN,Kkunal Parar,-,Equity Shares,0.0,,,Buy,2500,2024-01-15,ESOP,0,0
CHOICEIN,Nitesh Agarwal,-,Equity Shares,0.57,,,Buy,585576,2024-01-15,ESOP,0,0
CHOICEIN,Ratiraj Tibrewal,-,Equity Shares,0.7,1150.0,1863518.0,Buy,712500,2024-01-15,ESOP,0,0
CHOICEIN,Sumit Bajaj,-,Equity Shares,0.03,2484.0,4025198.0,Buy,30000,2024-01-15,ESOP,0,0
CHOICEIN,NS Technical Consultancy Private Limited,Promoter Group,Equity Shares,2.26,654.0,1059774.0,Buy,2334000,2023-12-18,Market Purchase,0,0
CHOICEIN,NS Technical Consultancy Private Limited,Promoter Group,Equity Shares,1.9,5000.0,2727750.0,Buy,2244000,2023-12-13,Market Purchase,0,0
CHOICEIN,NS Technical Consultancy Private Limited,Promoter Group,Equity Shares,1.5,5000.0,2727750.0,Buy,1894000,2023-12-06,Market Purchase,0,0
CHOICEIN,NS Technical Consultancy Private Limited,Promoter Group,Equity Shares,1.05,5000.0,2727750.0,Buy,1494000,2023-12-05,Market Purchase,0,0
CHOICEIN,Patodia Properties Private Limited,Promoter Group,Equity Shares,4.05,12500.0,6819375.0,Buy,4160000,2023-12-04,Market Purchase,0,0
CHOICEIN,Patodia Properties Private Limited,Promoter Group,Equity Shares,3.94,12500.0,6819735.0,Buy,4035000,2023-11-30,Market Purchase,0,0
CHOICEIN,Patodia Properties Private Limited,Promoter Group,Equity Shares,3.87,2500.0,1363875.0,Buy,3925000,2023-11-06,Market Purchase,0,0
CHOICEIN,NS Technical Consultancy Private Limited,Promoter Group,Equity Shares,0.95,12500.0,6819375.0,Buy,954000,2023-11-02,Market Purchase,0,0
CHOICEIN,NS Technical Consultancy Private Limited,Promoter Group,Equity Shares,1.0,12500.0,6819375.0,Buy,1044000,2023-11-03,Market Purchase,0,0
THOMASCOOK,IDBI Trusteeship Services Limited,-,Equity Shares,1.13,5000.0,2727750.0,Sell,5280118,2024-01-17,ESOP,0,0
THOMASCOOK,IDBI Trusteeship Services Limited,-,Equity Shares,1.11,,,Sell,5318714,2023-12-18,ESOP,0,0
THOMASCOOK,IDBI Trusteeship Services Limited,-,Equity Shares,1.28,,,Sell,6019093,2023-09-07,ESOP,0,0
THOMASCOOK,IDBI Trusteeship Services Limited,-,Equity Shares,1.28,,,Sell,6037406,2023-09-01,ESOP,0,0
THOMASCOOK,IDBI Trusteeship Services Limited,-,Equity Shares,1.34,,,Sell,6060798,2023-08-01,ESOP,0,0
THOMASCOOK,Amit Madhan,Employees/Designated Employees,Equity Shares,0.03,,,Sell,128766,2023-12-29,Market Sale,0,0
THOMASCOOK,IDBI Trusteeship Services Limited,-,Equity Shares,1.11,96101.0,982368.0,Sell,5318714,2023-12-18,Off Market,0,0
THOMASCOOK,Debasis Nandy,Employees/Designated Employees,Equity Shares,0.05,18313.0,387477.0,Buy,334071,2023-12-18,ESOP,0,0
THOMASCOOK,RAJEEV KALE,Employees/Designated Employees,Equity Shares,0.04,23392.0,23392.0,Sell,179449,2023-11-28,Market Sale,0,0
THOMASCOOK,RAJEEV KALE,Employees/Designated Employees,Equity Shares,0.05,243017.0,653807.0,Sell,199449,2023-11-24,Market Sale,0,0
