"SYMBOL 
","COMPANY 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
"
HDFCLIFE,HDFC Life Insurance Company Limited,RUCHITA VORA,Employees/Designated Employees,Equity Shares,Nil,0,,3000,1617300,Buy,Equity Shares,3000
HDFCLIFE,HDFC Life Insurance Company Limited,VIBHA PADALKAR,Director,Equity Shares,888172,0.04,,127500,67772625,Buy,Equity Shares,1015672
GENSOL,Gensol Engineering Limited,Gensol Ventures Private Limited,Promoter Group,Equity Shares,8751282,23.11,,1550000,0,Pledge,Equity Shares,8751282
GENSOL,Gensol Engineering Limited,Anmol Singh Jaggi,Promoters,Equity Shares,7964766,21.03,,243228,0,Pledge,Equity Shares,7964766
THOMASCOOK,Thomas Cook  (India)  Limited,IDBI Trusteeship Services Limited,-,Equity Shares,5318714,1.13,,38596,193536,Sell,Equity Shares,5280118
ARVINDFASN,Arvind Fashions Limited,Krishna Chandra Jha,Employees/Designated Employees,Equity Shares,2500,0,,1500,222300,Buy,Equity Shares,4000
3IINFOLTD,3i Infotech Limited,Sanjay Rawa,Key Managerial Personnel,Equity Shares,Nil,0,,49500,495000,Buy,Equity Shares,49500
M&M,Mahindra & Mahindra Limited,Mohan Nair,Employees/Designated Employees,Equity Shares,11453,0,,1150,1863518,Buy,Equity Shares,12603
M&M,Mahindra & Mahindra Limited,Velusamy R,Employees/Designated Employees,Equity Shares,38014,0,,2484,4025198,Buy,Equity Shares,40498
M&M,Mahindra & Mahindra Limited,Rajeev Sharma,Employees/Designated Employees,Equity Shares,4837,0,,654,1059774,Buy,Equity Shares,5491
CHOICEIN,Choice International Limited,Manoj Singhania,-,Equity Shares,Nil,0,,5000,2727750,Buy,Equity Shares,5000
CHOICEIN,Choice International Limited,Karishma Shah,-,Equity Shares,25000,0.03,,5000,2727750,Buy,Equity Shares,30000
CHOICEIN,Choice International Limited,Ayush Sharma,-,Equity Shares,25000,0.03,,5000,2727750,Buy,Equity Shares,30000
CHOICEIN,Choice International Limited,Bhal Chandra Murarka,-,Equity Shares,36748,0.04,,12500,6819375,Buy,Equity Shares,49248
CHOICEIN,Choice International Limited,Yogesh Jadhav,-,Equity Shares,1125000,1.13,,12500,6819735,Buy,Equity Shares,1137500
CHOICEIN,Choice International Limited,Kkunal Parar,-,Equity Shares,Nil,0,,2500,1363875,Buy,Equity Shares,2500
CHOICEIN,Choice International Limited,Nitesh Agarwal,-,Equity Shares,573076,0.57,,12500,6819375,Buy,Equity Shares,585576
CHOICEIN,Choice International Limited,Ratiraj Tibrewal,-,Equity Shares,700000,0.7,,12500,6819375,Buy,Equity Shares,712500
CHOICEIN,Choice International Limited,Sumit Bajaj,-,Equity Shares,25000,0.03,,5000,2727750,Buy,Equity Shares,30000
NAUKRI,Info Edge (India) Limited,Info Edge Employees Stock Option Plan Trust,Other,Equity Shares,268583,0.21,,232,2320,Sell,Equity Shares,268351
SHRENIK,Shrenik Limited,Shrenik Sudhir Vimawala,Director,Equity Shares,200921576,32.83,,900000,1111500,Sell,Equity Shares,200021576
MANAKCOAT,Manaksia Coated Metals & Industries Limited,SHAILAJA AGRAWAL,Promoter Group,Equity Shares,497810,0.76,,3150000,56700000,Buy,Equity Shares,3647810
MANAKCOAT,Manaksia Coated Metals & Industries Limited,KARAN AGRAWAL,Promoter Group,Equity Shares,1797185,2.74,,1825000,32850000,Buy,Equity Shares,3622185
MANAKCOAT,Manaksia Coated Metals & Industries Limited,TUSHAR AGRAWAL,Promoter Group,Equity Shares,1472190,2.25,,2225000,40050000,Buy,Equity Shares,3697190
THOMASCOOK,Thomas Cook  (India)  Limited,IDBI Trusteeship Services Limited,-,Equity Shares,5414815,1.11,,96101,982368,Sell,Equity Shares,5318714
THOMASCOOK,Thomas Cook  (India)  Limited,IDBI Trusteeship Services Limited,-,Equity Shares,6037406,1.28,,18313,387477,Sell,Equity Shares,6019093
THOMASCOOK,Thomas Cook  (India)  Limited,IDBI Trusteeship Services Limited,-,Equity Shares,6060798,1.28,,23392,23392,Sell,Equity Shares,6037406
THOMASCOOK,Thomas Cook  (India)  Limited,IDBI Trusteeship Services Limited,-,Equity Shares,6303815,1.34,,243017,653807,Sell,Equity Shares,6060798
DIL,Debock Industries Limited,MUKESH MANVEER SINGH,Promoters,Equity Shares,37276689,34.15,,11964000,114400322,Sell,Equity Shares,25312689
ACCENTMIC,Accent Microcell Limited,CHETNABEN JITENDRAKUMAR PATEL,Promoter Group,Equity Shares,Nil,0,,13000,3958500,Buy,Equity Shares,13000
ACCENTMIC,Accent Microcell Limited,RAJAN ARVINDBHAI CHHABHAIYA,Promoter Group,Equity Shares,Nil,0,,5000,1525000,Buy,Equity Shares,5000
ACCENTMIC,Accent Microcell Limited,NIPAM JASHVANTLAL JANI,-,Equity Shares,Nil,0,,1000,301000,Buy,Equity Shares,1000
ACCENTMIC,Accent Microcell Limited,ZANKHANA NIPAMBHAI JANI,-,Equity Shares,Nil,0,,3000,903000,Buy,Equity Shares,3000
ACCENTMIC,Accent Microcell Limited,JYOTIBEN GHANSHYAMBHAI PATEL,Immediate relative,Equity Shares,Nil,0,,20000,6040000,Buy,Equity Shares,20000
ACCENTMIC,Accent Microcell Limited,JAHANVI GHANSHYAMBHAI PATEL,Immediate relative,Equity Shares,Nil,0,,20000,6040000,Buy,Equity Shares,20000
ACCENTMIC,Accent Microcell Limited,HET GHANSHYAMBHAI PATEL,Immediate relative,Equity Shares,Nil,0,,20000,6040000,Buy,Equity Shares,20000
ACCENTMIC,Accent Microcell Limited,SHREY VINODKUMAR CHHABHAIYA,Immediate relative,Equity Shares,Nil,0,,5000,1525000,Buy,Equity Shares,5000
ACCENTMIC,Accent Microcell Limited,SHAILESHBHAI ARJANBHAI PATEL,Promoter Group,Equity Shares,108000,0.51,,20000,6020000,Buy,Equity Shares,128000
ACCENTMIC,Accent Microcell Limited,PRINCY SHAILESHBHAI PATEL,Promoter Group,Equity Shares,Nil,0,,20000,6020000,Buy,Equity Shares,20000
ACCENTMIC,Accent Microcell Limited,KANCHANBEN SHAILESHBHAI PATEL,Promoter Group,Equity Shares,Nil,0,,20000,6020000,Buy,Equity Shares,20000
M&M,Mahindra & Mahindra Limited,Mr. Anil Jagga,Employees/Designated Employees,Equity Shares,1555,0,,997,1615589,Buy,Equity Shares,2552
M&M,Mahindra & Mahindra Limited,Sriram Kumar,Employees/Designated Employees,Equity Shares,Nil,0,,800,1296360,Buy,Equity Shares,800
M&M,Mahindra & Mahindra Limited,Vijay Nakra,Employees/Designated Employees,Equity Shares,48489,0,,8649,14015272,Buy,Equity Shares,57138
M&M,Mahindra & Mahindra Limited,Mahindra & Mahindra Employees' Stock Option Trust,Other,Equity Shares,44553964,3.58,,39562,175090,Sell,Equity Shares,44514402
NAM-INDIA,Nippon Life India Asset Management Limited,Rajeev Bhargava,Employees/Designated Employees,Equity Shares,3974,0,,2454,1247982,Pledge,Equity Shares,3974
NAM-INDIA,Nippon Life India Asset Management Limited,SreeKumar Menon,Employees/Designated Employees,Equity Shares,10279,0,,10278,5226877,Pledge,Equity Shares,10279
UJJIVANSFB,Ujjivan Small Finance Bank Limited,Ittira Davis,Key Managerial Personnel,Equity Shares,150000,0.01,,73892,1950009,Buy,Equity Shares,223892
REXPIPES,Rex Pipes And Cables Industries Limited,MRS. SUMAN GADWAL,Promoter Group,Equity Shares,26000,0.28,,2000,140000,Buy,Equity Shares,28000
WIPRO,Wipro Limited,Srikant Godavarti,Employees/Designated Employees,Equity Shares,6077,0,,2122,1035960,Buy,Equity Shares,8199
WIPRO,Wipro Limited,Laura Nicholson,Employees/Designated Employees,ADR/GDR/FCCB,12189,0,,17202,7661561,Buy,ADR/GDR/FCCB,29391
